Sezione,Ubicazione,Voti
1,"D'AZEGLIO V.D.MULINI A VENTO,2",59.0
2,"G.BORSI VIA DELLA CORONCINA,21",78.0
3,"D'AZEGLIO V.D.MULINI A VENTO,2",79.0
4,"D'AZEGLIO V.D.MULINI A VENTO,2",97.0
5,"D'AZEGLIO V.D.MULINI A VENTO,2",99.0
6,"C.BINI VIA C.BINI,22 INGR.CEN.",80.0
7,"C.BINI VIA C.BINI,22 INGR.CEN.",33.0
8,"C.BINI VIA C.BINI,22 INGR.CEN.",53.0
9,"C.BINI VIA C.BINI,22 INGR.CEN.",65.0
10,"C.BINI VIA C.BINI,22 INGR.CEN.",59.0
11,"C.BINI VIA C.BINI,22 INGR.CEN.",100.0
12,ISOLA DI GORGONA,12.0
13,"G.BORSI VIA DELLA CORONCINA,21",84.0
14,"G.BORSI VIA DELLA CORONCINA,21",61.0
15,"G.BORSI VIA DEI CAVALIERI,30",81.0
16,"G.BORSI VIA DELLA CORONCINA,21",80.0
17,"G.BORSI VIA DEI CAVALIERI,30",86.0
18,"G.BORSI VIA DELLA CORONCINA,21",44.0
19,"A.BENCI VIA BERNARDINA,35",83.0
20,"A.BENCI VIA BERNARDINA,35",80.0
21,"A.BENCI VIA BERNARDINA,35",76.0
22,"A.BENCI VIA BERNARDINA,35",82.0
23,"A.BENCI VIA BERNARDINA,35",85.0
24,"G.MICHELI PIAZ.LE XI MAGGIO,25",75.0
25,"G.MICHELI PIAZ.LE XI MAGGIO,25",113.0
26,"G.MICHELI PIAZ.LE XI MAGGIO,25",64.0
27,"G.MICHELI PIAZ.LE XI MAGGIO,25",67.0
28,"G.MICHELI PIAZ.LE XI MAGGIO,25",79.0
29,"G.MICHELI PIAZ.LE XI MAGGIO,25",57.0
30,"G.MICHELI PIAZ.LE XI MAGGIO,25",67.0
31,"G.MICHELI PIAZ.LE XI MAGGIO,25",58.0
32,"G.MICHELI PIAZ.LE XI MAGGIO,25",66.0
33,"MICHELANGELO VIA R.DUDLEY,3",101.0
34,"MICALI SUCC.VIA DEGLI ARCHI,66",56.0
35,"MICALI SUCC.VIA DEGLI ARCHI,66",104.0
36,"MICALI SUCC.VIA DEGLI ARCHI,66",110.0
37,"MICALI SUCC.VIA DEGLI ARCHI,66",86.0
38,"MICALI VIA MARRADI,120",129.0
39,"MICALI VIA MARRADI,120",140.0
40,"MICALI SUCC.VIA DEGLI ARCHI,66",99.0
41,"MICALI SUCC.VIA DEGLI ARCHI,66",101.0
42,"MICALI SUCC.VIA DEGLI ARCHI,66",97.0
43,"MICALI SUCC.VIA DEGLI ARCHI,66",94.0
44,"E.DE AMICIS VIALE G.MARCONI,77",92.0
45,"E.DE AMICIS VIALE G.MARCONI,77",126.0
46,"E.DE AMICIS VIALE G.MARCONI,77",77.0
47,"E.DE AMICIS VIALE G.MARCONI,77",68.0
48,"A.BENCI VIA A. NOVELLI, N. 1",80.0
49,"A.BENCI VIA A. NOVELLI, N. 1",96.0
50,"G.PAZZINI VIA SAN GAETANO,19",71.0
51,"G.PAZZINI VIA SAN GAETANO,19",124.0
52,"G.PAZZINI VIA SAN GAETANO,19",121.0
53,"G.PAZZINI VIA SAN GAETANO,19",74.0
54,"G.PAZZINI VIA SAN GAETANO,19",89.0
55,"MAZZINI SUCC.V.LE CARDUCCI,16",95.0
56,"G.MAZZINI V.GIOV.T.TOZZETTI,5",64.0
57,"MAZZINI SUCC.V.LE CARDUCCI,16",53.0
58,"G.MAZZINI V.GIOV.T.TOZZETTI,5",83.0
59,"G.MAZZINI V.GIOV.T.TOZZETTI,5",80.0
60,OSPEDALE CIVILE,8.0
61,OSPEDALE CIVILE,8.0
62,"V.CORRIDI V.DI COLLINAIA,19",138.0
63,"MAZZINI SUCC.V.LE CARDUCCI,16",97.0
64,"G.MAZZINI V.GIOV.T.TOZZETTI,5",70.0
65,"G.PUCCINI VIA E.ZOLA,75",78.0
66,"G.PUCCINI VIA E.ZOLA,75",84.0
67,"G.PUCCINI VIA E.ZOLA,75",47.0
68,"G.PUCCINI VIA E.ZOLA,75",36.0
69,"S.M. 'FERMI' VIA N.STENONE,12",58.0
70,"S.M. 'FERMI' VIA N.STENONE,12",43.0
71,"S.M. 'FERMI' VIA N.STENONE,12",42.0
72,"S.M. 'FERMI' VIA N.STENONE,12",42.0
73,"G.MICHELI PIAZ.LE XI MAGGIO,25",62.0
74,"G.MICHELI PIAZ.LE XI MAGGIO,25",76.0
75,"G.MICHELI PIAZ.LE XI MAGGIO,25",87.0
76,"G.MICHELI PIAZ.LE XI MAGGIO,25",37.0
77,"A.MODIGLIANI VIA AGNOLETTI,3",49.0
78,"A.MODIGLIANI VIA AGNOLETTI,3",66.0
79,"A.MODIGLIANI VIA AGNOLETTI,3",76.0
80,"G.FATTORI VIA T.SCALI,72",81.0
81,"G.FATTORI VIA T.SCALI,72",64.0
82,"P.THOUAR VIA DELLE SORGENTI,39",98.0
83,"P.THOUAR VIA DELLE SORGENTI,39",76.0
84,"P.THOUAR VIA DELLE SORGENTI,39",45.0
85,"P.THOUAR VIA DELLE SORGENTI,39",93.0
86,"MICHELANGELO VIA R.DUDLEY,3",72.0
87,"MICHELANGELO VIA R.DUDLEY,3",78.0
88,"MICHELANGELO VIA R.DUDLEY,3",47.0
89,"MICHELANGELO VIA R.DUDLEY,3",69.0
90,"MICHELANGELO VIA R.DUDLEY,3",85.0
91,"G.RODARI V.LE RISORGIMENTO,140",92.0
92,"G.RODARI V.LE RISORGIMENTO,140",68.0
93,"G.RODARI V.LE RISORGIMENTO,140",58.0
94,"G.RODARI V.LE RISORGIMENTO,140",105.0
95,"G.RODARI V.LE RISORGIMENTO,140",29.0
96,A. RAZZAUTI VIA BASILICATA 17a,127.0
97,A. RAZZAUTI VIA BASILICATA 17a,91.0
98,A. RAZZAUTI VIA BASILICATA 17a,105.0
99,"C.COLLODI VIA DI SALVIANO,87",76.0
100,"C.COLLODI VIA DI SALVIANO,87",45.0
101,"C.COLLODI VIA DI SALVIANO,87",65.0
102,"C.COLLODI VIA DI SALVIANO,87",30.0
103,A. RAZZAUTI VIA BASILICATA 17a,99.0
104,A. RAZZAUTI VIA BASILICATA 17a,88.0
105,"P.ALBERTELLI V.P.ALBERTELLI,1",144.0
106,"P.ALBERTELLI V.P.ALBERTELLI,1",124.0
107,"P.ALBERTELLI V.P.ALBERTELLI,1",132.0
108,"P.ALBERTELLI V.P.ALBERTELLI,1",122.0
109,"BARTOLENA VIA E.BOIS,14",113.0
110,"P.ALBERTELLI V.P.ALBERTELLI,1",102.0
111,"BARTOLENA VIA E.BOIS,14",91.0
112,"BARTOLENA VIA E.BOIS,14",85.0
113,"BARTOLENA VIA E.BOIS,14",101.0
114,"R.NATALI VIA A.CECIONI,37",102.0
115,"R.NATALI VIA A.CECIONI,37",107.0
116,"R.NATALI VIA A.CECIONI,37",102.0
117,"R.NATALI VIA A.CECIONI,37",127.0
118,"B.BRIN VIA SARDEGNA,25",134.0
119,"B.BRIN VIA SARDEGNA,25",120.0
120,"B.BRIN VIA SARDEGNA,25",84.0
121,"B.BRIN VIA SARDEGNA,25",102.0
122,"B.BRIN VIA SARDEGNA,25",99.0
123,"B.BRIN VIA SARDEGNA,25",131.0
124,LAMBRUSCHINI VIA P.VILLARI,92.0
125,LAMBRUSCHINI VIA P.VILLARI,122.0
126,"C.CATTANEO VIA C.CATTANEO,5",93.0
127,"C.CATTANEO VIA C.CATTANEO,5",112.0
128,"C.CATTANEO VIA C.CATTANEO,5",116.0
129,"C.CATTANEO VIA C.CATTANEO,5",42.0
130,"C.CATTANEO VIA C.CATTANEO,5",62.0
131,"G.CARDUCCI P.ZA A.SFORZINI,18",77.0
132,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",81.0
133,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",117.0
134,"G.CARDUCCI P.ZA A.SFORZINI,18",114.0
135,"EL.G.CARDUCCI V.D.PROVENZAL,27",154.0
136,"EL.G.CARDUCCI V.D.PROVENZAL,27",127.0
137,"EL.G.CARDUCCI V.D.PROVENZAL,27",142.0
138,"EL.G.CARDUCCI V.D.PROVENZAL,27",144.0
139,"EL.G.CARDUCCI V.D.PROVENZAL,27",155.0
140,"EL.G.CARDUCCI V.D.PROVENZAL,27",111.0
141,"ELEM.MONT.VIA DI MONTENERO,408",111.0
142,"ELEM.MONT.VIA DI MONTENERO,408",135.0
143,"'C.BARTOLENA' VIA MICHEL,8",144.0
144,"'C.BARTOLENA' VIA MICHEL,8",190.0
145,"CASTELLAC.VIA QUERCIANELLA,126",147.0
146,"CEN.SOC.CULT.RIC.V.P.NARDINI,8",140.0
147,"A.GRAMSCI VIA CAMPANIA, 39",107.0
148,"A.GRAMSCI VIA CAMPANIA, 39",86.0
149,"A.GRAMSCI VIA CAMPANIA, 39",100.0
150,"A.GRAMSCI VIA CAMPANIA, 39",88.0
151,"A.GRAMSCI VIA CAMPANIA, 39",65.0
152,"A.GRAMSCI VIA CAMPANIA, 39",107.0
153,"A.GRAMSCI VIA CAMPANIA, 39",81.0
154,"A.GRAMSCI VIA CAMPANIA, 39",64.0
155,"P.THOUAR VIA D.NICCODEMI,1",49.0
156,"P.THOUAR VIA D.NICCODEMI,1",114.0
157,"V.CORRIDI V.VEC.LAZZERETTO,26",60.0
158,"V.CORRIDI V.VEC.LAZZERETTO,26",74.0
159,"V.CORRIDI V.VEC.LAZZERETTO,26",88.0
160,"V.CORRIDI V.VEC.LAZZERETTO,26",57.0
161,"V.CORRIDI V.DI COLLINAIA,19",117.0
162,"V.CORRIDI V.DI COLLINAIA,19",109.0
163,"V.CORRIDI V.DI COLLINAIA,19",113.0
164,"V.CORRIDI V.DI COLLINAIA,19",110.0
165,"LAMBRUSCHINI VIA P.VILLARI,8",62.0
166,"'C.BARTOLENA' VIA MICHEL,8",39.0
167,"'C.BARTOLENA' VIA MICHEL,8",82.0
168,"LAMBRUSCHINI VIA P.VILLARI,8",67.0
169,"'C.BARTOLENA' VIA MICHEL,8",84.0
170,"'C.BARTOLENA' VIA MICHEL,8",98.0
171,"V.CORRIDI V.DI COLLINAIA,19",120.0
172,"V.CORRIDI V.DI COLLINAIA,19",72.0
