Sezione,Ubicazione,Voti
1,"D'AZEGLIO V.D.MULINI A VENTO,2",36.0
2,"G.BORSI VIA DELLA CORONCINA,21",40.0
3,"D'AZEGLIO V.D.MULINI A VENTO,2",34.0
4,"D'AZEGLIO V.D.MULINI A VENTO,2",32.0
5,"D'AZEGLIO V.D.MULINI A VENTO,2",29.0
6,"C.BINI VIA C.BINI,22 INGR.CEN.",49.0
7,"C.BINI VIA C.BINI,22 INGR.CEN.",23.0
8,"C.BINI VIA C.BINI,22 INGR.CEN.",25.0
9,"C.BINI VIA C.BINI,22 INGR.CEN.",54.0
10,"C.BINI VIA C.BINI,22 INGR.CEN.",46.0
11,"C.BINI VIA C.BINI,22 INGR.CEN.",67.0
12,ISOLA DI GORGONA,2.0
13,"G.BORSI VIA DELLA CORONCINA,21",25.0
14,"G.BORSI VIA DELLA CORONCINA,21",30.0
15,"G.BORSI VIA DEI CAVALIERI,30",24.0
16,"G.BORSI VIA DELLA CORONCINA,21",20.0
17,"G.BORSI VIA DEI CAVALIERI,30",30.0
18,"G.BORSI VIA DELLA CORONCINA,21",31.0
19,"A.BENCI VIA BERNARDINA,35",39.0
20,"A.BENCI VIA BERNARDINA,35",28.0
21,"A.BENCI VIA BERNARDINA,35",39.0
22,"A.BENCI VIA BERNARDINA,35",39.0
23,"A.BENCI VIA BERNARDINA,35",50.0
24,"G.MICHELI PIAZ.LE XI MAGGIO,25",50.0
25,"G.MICHELI PIAZ.LE XI MAGGIO,25",56.0
26,"G.MICHELI PIAZ.LE XI MAGGIO,25",36.0
27,"G.MICHELI PIAZ.LE XI MAGGIO,25",43.0
28,"G.MICHELI PIAZ.LE XI MAGGIO,25",44.0
29,"G.MICHELI PIAZ.LE XI MAGGIO,25",28.0
30,"G.MICHELI PIAZ.LE XI MAGGIO,25",26.0
31,"G.MICHELI PIAZ.LE XI MAGGIO,25",27.0
32,"G.MICHELI PIAZ.LE XI MAGGIO,25",20.0
33,"MICHELANGELO VIA R.DUDLEY,3",25.0
34,"MICALI SUCC.VIA DEGLI ARCHI,66",27.0
35,"MICALI SUCC.VIA DEGLI ARCHI,66",50.0
36,"MICALI SUCC.VIA DEGLI ARCHI,66",48.0
37,"MICALI SUCC.VIA DEGLI ARCHI,66",43.0
38,"MICALI VIA MARRADI,120",45.0
39,"MICALI VIA MARRADI,120",27.0
40,"MICALI SUCC.VIA DEGLI ARCHI,66",50.0
41,"MICALI SUCC.VIA DEGLI ARCHI,66",45.0
42,"MICALI SUCC.VIA DEGLI ARCHI,66",38.0
43,"MICALI SUCC.VIA DEGLI ARCHI,66",49.0
44,"E.DE AMICIS VIALE G.MARCONI,77",38.0
45,"E.DE AMICIS VIALE G.MARCONI,77",47.0
46,"E.DE AMICIS VIALE G.MARCONI,77",50.0
47,"E.DE AMICIS VIALE G.MARCONI,77",46.0
48,"A.BENCI VIA A. NOVELLI, N. 1",56.0
