Sezione,Ubicazione,Voti
1,"D'AZEGLIO V.D.MULINI A VENTO,2",44.0
2,"G.BORSI VIA DELLA CORONCINA,21",39.0
3,"D'AZEGLIO V.D.MULINI A VENTO,2",42.0
4,"D'AZEGLIO V.D.MULINI A VENTO,2",57.0
5,"D'AZEGLIO V.D.MULINI A VENTO,2",49.0
6,"C.BINI VIA C.BINI,22 INGR.CEN.",57.0
7,"C.BINI VIA C.BINI,22 INGR.CEN.",42.0
8,"C.BINI VIA C.BINI,22 INGR.CEN.",45.0
9,"C.BINI VIA C.BINI,22 INGR.CEN.",79.0
10,"C.BINI VIA C.BINI,22 INGR.CEN.",45.0
11,"C.BINI VIA C.BINI,22 INGR.CEN.",47.0
12,ISOLA DI GORGONA,1.0
13,"G.BORSI VIA DELLA CORONCINA,21",46.0
14,"G.BORSI VIA DELLA CORONCINA,21",34.0
15,"G.BORSI VIA DEI CAVALIERI,30",41.0
16,"G.BORSI VIA DELLA CORONCINA,21",33.0
17,"G.BORSI VIA DEI CAVALIERI,30",50.0
18,"G.BORSI VIA DELLA CORONCINA,21",48.0
19,"A.BENCI VIA BERNARDINA,35",51.0
20,"A.BENCI VIA BERNARDINA,35",65.0
21,"A.BENCI VIA BERNARDINA,35",56.0
22,"A.BENCI VIA BERNARDINA,35",64.0
23,"A.BENCI VIA BERNARDINA,35",56.0
24,"G.MICHELI PIAZ.LE XI MAGGIO,25",64.0
25,"G.MICHELI PIAZ.LE XI MAGGIO,25",57.0
26,"G.MICHELI PIAZ.LE XI MAGGIO,25",57.0
27,"G.MICHELI PIAZ.LE XI MAGGIO,25",56.0
28,"G.MICHELI PIAZ.LE XI MAGGIO,25",54.0
29,"G.MICHELI PIAZ.LE XI MAGGIO,25",43.0
30,"G.MICHELI PIAZ.LE XI MAGGIO,25",62.0
31,"G.MICHELI PIAZ.LE XI MAGGIO,25",46.0
32,"G.MICHELI PIAZ.LE XI MAGGIO,25",57.0
33,"MICHELANGELO VIA R.DUDLEY,3",72.0
34,"MICALI SUCC.VIA DEGLI ARCHI,66",32.0
35,"MICALI SUCC.VIA DEGLI ARCHI,66",51.0
36,"MICALI SUCC.VIA DEGLI ARCHI,66",55.0
37,"MICALI SUCC.VIA DEGLI ARCHI,66",29.0
38,"MICALI VIA MARRADI,120",41.0
39,"MICALI VIA MARRADI,120",40.0
40,"MICALI SUCC.VIA DEGLI ARCHI,66",39.0
41,"MICALI SUCC.VIA DEGLI ARCHI,66",32.0
42,"MICALI SUCC.VIA DEGLI ARCHI,66",37.0
43,"MICALI SUCC.VIA DEGLI ARCHI,66",37.0
44,"E.DE AMICIS VIALE G.MARCONI,77",37.0
45,"E.DE AMICIS VIALE G.MARCONI,77",23.0
46,"E.DE AMICIS VIALE G.MARCONI,77",47.0
47,"E.DE AMICIS VIALE G.MARCONI,77",46.0
48,"A.BENCI VIA A. NOVELLI, N. 1",63.0
49,"A.BENCI VIA A. NOVELLI, N. 1",62.0
50,"G.PAZZINI VIA SAN GAETANO,19",31.0
51,"G.PAZZINI VIA SAN GAETANO,19",57.0
52,"G.PAZZINI VIA SAN GAETANO,19",53.0
53,"G.PAZZINI VIA SAN GAETANO,19",59.0
54,"G.PAZZINI VIA SAN GAETANO,19",59.0
55,"MAZZINI SUCC.V.LE CARDUCCI,16",58.0
56,"G.MAZZINI V.GIOV.T.TOZZETTI,5",52.0
57,"MAZZINI SUCC.V.LE CARDUCCI,16",48.0
58,"G.MAZZINI V.GIOV.T.TOZZETTI,5",31.0
59,"G.MAZZINI V.GIOV.T.TOZZETTI,5",53.0
60,OSPEDALE CIVILE,2.0
61,OSPEDALE CIVILE,3.0
62,"V.CORRIDI V.DI COLLINAIA,19",106.0
63,"MAZZINI SUCC.V.LE CARDUCCI,16",53.0
64,"G.MAZZINI V.GIOV.T.TOZZETTI,5",60.0
65,"G.PUCCINI VIA E.ZOLA,75",47.0
66,"G.PUCCINI VIA E.ZOLA,75",63.0
67,"G.PUCCINI VIA E.ZOLA,75",50.0
68,"G.PUCCINI VIA E.ZOLA,75",21.0
69,"S.M. 'FERMI' VIA N.STENONE,12",72.0
70,"S.M. 'FERMI' VIA N.STENONE,12",41.0
71,"S.M. 'FERMI' VIA N.STENONE,12",41.0
72,"S.M. 'FERMI' VIA N.STENONE,12",30.0
73,"G.MICHELI PIAZ.LE XI MAGGIO,25",47.0
74,"G.MICHELI PIAZ.LE XI MAGGIO,25",61.0
75,"G.MICHELI PIAZ.LE XI MAGGIO,25",57.0
76,"G.MICHELI PIAZ.LE XI MAGGIO,25",39.0
77,"A.MODIGLIANI VIA AGNOLETTI,3",42.0
78,"A.MODIGLIANI VIA AGNOLETTI,3",78.0
79,"A.MODIGLIANI VIA AGNOLETTI,3",79.0
80,"G.FATTORI VIA T.SCALI,72",50.0
81,"G.FATTORI VIA T.SCALI,72",55.0
82,"P.THOUAR VIA DELLE SORGENTI,39",69.0
83,"P.THOUAR VIA DELLE SORGENTI,39",58.0
84,"P.THOUAR VIA DELLE SORGENTI,39",71.0
85,"P.THOUAR VIA DELLE SORGENTI,39",81.0
86,"MICHELANGELO VIA R.DUDLEY,3",67.0
87,"MICHELANGELO VIA R.DUDLEY,3",52.0
88,"MICHELANGELO VIA R.DUDLEY,3",69.0
89,"MICHELANGELO VIA R.DUDLEY,3",66.0
90,"MICHELANGELO VIA R.DUDLEY,3",52.0
91,"G.RODARI V.LE RISORGIMENTO,140",54.0
92,"G.RODARI V.LE RISORGIMENTO,140",59.0
93,"G.RODARI V.LE RISORGIMENTO,140",36.0
94,"G.RODARI V.LE RISORGIMENTO,140",52.0
95,"G.RODARI V.LE RISORGIMENTO,140",48.0
96,A. RAZZAUTI VIA BASILICATA 17a,58.0
97,A. RAZZAUTI VIA BASILICATA 17a,66.0
98,A. RAZZAUTI VIA BASILICATA 17a,71.0
99,"C.COLLODI VIA DI SALVIANO,87",43.0
100,"C.COLLODI VIA DI SALVIANO,87",33.0
101,"C.COLLODI VIA DI SALVIANO,87",62.0
102,"C.COLLODI VIA DI SALVIANO,87",37.0
103,A. RAZZAUTI VIA BASILICATA 17a,42.0
104,A. RAZZAUTI VIA BASILICATA 17a,13.0
105,"P.ALBERTELLI V.P.ALBERTELLI,1",39.0
106,"P.ALBERTELLI V.P.ALBERTELLI,1",43.0
107,"P.ALBERTELLI V.P.ALBERTELLI,1",38.0
108,"P.ALBERTELLI V.P.ALBERTELLI,1",44.0
109,"BARTOLENA VIA E.BOIS,14",61.0
110,"P.ALBERTELLI V.P.ALBERTELLI,1",55.0
111,"BARTOLENA VIA E.BOIS,14",51.0
112,"BARTOLENA VIA E.BOIS,14",51.0
113,"BARTOLENA VIA E.BOIS,14",46.0
114,"R.NATALI VIA A.CECIONI,37",56.0
115,"R.NATALI VIA A.CECIONI,37",35.0
116,"R.NATALI VIA A.CECIONI,37",46.0
117,"R.NATALI VIA A.CECIONI,37",44.0
118,"B.BRIN VIA SARDEGNA,25",40.0
119,"B.BRIN VIA SARDEGNA,25",41.0
120,"B.BRIN VIA SARDEGNA,25",40.0
121,"B.BRIN VIA SARDEGNA,25",30.0
122,"B.BRIN VIA SARDEGNA,25",57.0
123,"B.BRIN VIA SARDEGNA,25",63.0
124,LAMBRUSCHINI VIA P.VILLARI,35.0
125,LAMBRUSCHINI VIA P.VILLARI,37.0
126,"C.CATTANEO VIA C.CATTANEO,5",36.0
127,"C.CATTANEO VIA C.CATTANEO,5",47.0
128,"C.CATTANEO VIA C.CATTANEO,5",37.0
129,"C.CATTANEO VIA C.CATTANEO,5",50.0
130,"C.CATTANEO VIA C.CATTANEO,5",45.0
131,"G.CARDUCCI P.ZA A.SFORZINI,18",56.0
132,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",53.0
133,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",52.0
134,"G.CARDUCCI P.ZA A.SFORZINI,18",45.0
135,"EL.G.CARDUCCI V.D.PROVENZAL,27",37.0
136,"EL.G.CARDUCCI V.D.PROVENZAL,27",63.0
137,"EL.G.CARDUCCI V.D.PROVENZAL,27",34.0
138,"EL.G.CARDUCCI V.D.PROVENZAL,27",36.0
139,"EL.G.CARDUCCI V.D.PROVENZAL,27",34.0
140,"EL.G.CARDUCCI V.D.PROVENZAL,27",38.0
141,"ELEM.MONT.VIA DI MONTENERO,408",49.0
142,"ELEM.MONT.VIA DI MONTENERO,408",62.0
143,"'C.BARTOLENA' VIA MICHEL,8",52.0
144,"'C.BARTOLENA' VIA MICHEL,8",38.0
145,"CASTELLAC.VIA QUERCIANELLA,126",65.0
146,"CEN.SOC.CULT.RIC.V.P.NARDINI,8",43.0
147,"A.GRAMSCI VIA CAMPANIA, 39",71.0
148,"A.GRAMSCI VIA CAMPANIA, 39",109.0
149,"A.GRAMSCI VIA CAMPANIA, 39",81.0
150,"A.GRAMSCI VIA CAMPANIA, 39",76.0
151,"A.GRAMSCI VIA CAMPANIA, 39",42.0
152,"A.GRAMSCI VIA CAMPANIA, 39",63.0
153,"A.GRAMSCI VIA CAMPANIA, 39",67.0
154,"A.GRAMSCI VIA CAMPANIA, 39",73.0
155,"P.THOUAR VIA D.NICCODEMI,1",70.0
156,"P.THOUAR VIA D.NICCODEMI,1",82.0
157,"V.CORRIDI V.VEC.LAZZERETTO,26",39.0
158,"V.CORRIDI V.VEC.LAZZERETTO,26",72.0
159,"V.CORRIDI V.VEC.LAZZERETTO,26",85.0
160,"V.CORRIDI V.VEC.LAZZERETTO,26",47.0
