Sezione,Ubicazione,Voti
1,"D'AZEGLIO V.D.MULINI A VENTO,2",121.0
2,"G.BORSI VIA DELLA CORONCINA,21",114.0
3,"D'AZEGLIO V.D.MULINI A VENTO,2",112.0
4,"D'AZEGLIO V.D.MULINI A VENTO,2",140.0
5,"D'AZEGLIO V.D.MULINI A VENTO,2",97.0
6,"C.BINI VIA C.BINI,22 INGR.CEN.",126.0
7,"C.BINI VIA C.BINI,22 INGR.CEN.",99.0
8,"C.BINI VIA C.BINI,22 INGR.CEN.",131.0
9,"C.BINI VIA C.BINI,22 INGR.CEN.",149.0
10,"C.BINI VIA C.BINI,22 INGR.CEN.",143.0
11,"C.BINI VIA C.BINI,22 INGR.CEN.",172.0
12,ISOLA DI GORGONA,7.0
13,"G.BORSI VIA DELLA CORONCINA,21",107.0
14,"G.BORSI VIA DELLA CORONCINA,21",108.0
15,"G.BORSI VIA DEI CAVALIERI,30",114.0
16,"G.BORSI VIA DELLA CORONCINA,21",110.0
17,"G.BORSI VIA DEI CAVALIERI,30",94.0
18,"G.BORSI VIA DELLA CORONCINA,21",113.0
19,"A.BENCI VIA BERNARDINA,35",104.0
20,"A.BENCI VIA BERNARDINA,35",135.0
21,"A.BENCI VIA BERNARDINA,35",150.0
22,"A.BENCI VIA BERNARDINA,35",143.0
23,"A.BENCI VIA BERNARDINA,35",148.0
24,"G.MICHELI PIAZ.LE XI MAGGIO,25",155.0
25,"G.MICHELI PIAZ.LE XI MAGGIO,25",147.0
26,"G.MICHELI PIAZ.LE XI MAGGIO,25",120.0
27,"G.MICHELI PIAZ.LE XI MAGGIO,25",139.0
28,"G.MICHELI PIAZ.LE XI MAGGIO,25",122.0
29,"G.MICHELI PIAZ.LE XI MAGGIO,25",116.0
30,"G.MICHELI PIAZ.LE XI MAGGIO,25",101.0
31,"G.MICHELI PIAZ.LE XI MAGGIO,25",87.0
32,"G.MICHELI PIAZ.LE XI MAGGIO,25",109.0
33,"MICHELANGELO VIA R.DUDLEY,3",166.0
34,"MICALI SUCC.VIA DEGLI ARCHI,66",98.0
35,"MICALI SUCC.VIA DEGLI ARCHI,66",156.0
36,"MICALI SUCC.VIA DEGLI ARCHI,66",185.0
37,"MICALI SUCC.VIA DEGLI ARCHI,66",177.0
38,"MICALI VIA MARRADI,120",163.0
39,"MICALI VIA MARRADI,120",137.0
40,"MICALI SUCC.VIA DEGLI ARCHI,66",146.0
41,"MICALI SUCC.VIA DEGLI ARCHI,66",146.0
42,"MICALI SUCC.VIA DEGLI ARCHI,66",152.0
43,"MICALI SUCC.VIA DEGLI ARCHI,66",139.0
44,"E.DE AMICIS VIALE G.MARCONI,77",124.0
45,"E.DE AMICIS VIALE G.MARCONI,77",147.0
46,"E.DE AMICIS VIALE G.MARCONI,77",129.0
47,"E.DE AMICIS VIALE G.MARCONI,77",126.0
48,"A.BENCI VIA A. NOVELLI, N. 1",104.0
49,"A.BENCI VIA A. NOVELLI, N. 1",100.0
50,"G.PAZZINI VIA SAN GAETANO,19",136.0
51,"G.PAZZINI VIA SAN GAETANO,19",147.0
52,"G.PAZZINI VIA SAN GAETANO,19",147.0
53,"G.PAZZINI VIA SAN GAETANO,19",129.0
54,"G.PAZZINI VIA SAN GAETANO,19",169.0
55,"MAZZINI SUCC.V.LE CARDUCCI,16",131.0
56,"G.MAZZINI V.GIOV.T.TOZZETTI,5",122.0
57,"MAZZINI SUCC.V.LE CARDUCCI,16",141.0
58,"G.MAZZINI V.GIOV.T.TOZZETTI,5",175.0
59,"G.MAZZINI V.GIOV.T.TOZZETTI,5",201.0
60,OSPEDALE CIVILE,18.0
61,OSPEDALE CIVILE,21.0
62,"V.CORRIDI V.DI COLLINAIA,19",186.0
63,"MAZZINI SUCC.V.LE CARDUCCI,16",183.0
64,"G.MAZZINI V.GIOV.T.TOZZETTI,5",162.0
65,"G.PUCCINI VIA E.ZOLA,75",159.0
66,"G.PUCCINI VIA E.ZOLA,75",162.0
67,"G.PUCCINI VIA E.ZOLA,75",129.0
68,"G.PUCCINI VIA E.ZOLA,75",78.0
69,"S.M. 'FERMI' VIA N.STENONE,12",145.0
70,"S.M. 'FERMI' VIA N.STENONE,12",88.0
71,"S.M. 'FERMI' VIA N.STENONE,12",117.0
72,"S.M. 'FERMI' VIA N.STENONE,12",111.0
73,"G.MICHELI PIAZ.LE XI MAGGIO,25",134.0
74,"G.MICHELI PIAZ.LE XI MAGGIO,25",166.0
75,"G.MICHELI PIAZ.LE XI MAGGIO,25",162.0
76,"G.MICHELI PIAZ.LE XI MAGGIO,25",67.0
77,"A.MODIGLIANI VIA AGNOLETTI,3",97.0
78,"A.MODIGLIANI VIA AGNOLETTI,3",128.0
79,"A.MODIGLIANI VIA AGNOLETTI,3",129.0
80,"G.FATTORI VIA T.SCALI,72",156.0
81,"G.FATTORI VIA T.SCALI,72",214.0
82,"P.THOUAR VIA DELLE SORGENTI,39",171.0
83,"P.THOUAR VIA DELLE SORGENTI,39",177.0
84,"P.THOUAR VIA DELLE SORGENTI,39",135.0
85,"P.THOUAR VIA DELLE SORGENTI,39",194.0
86,"MICHELANGELO VIA R.DUDLEY,3",130.0
87,"MICHELANGELO VIA R.DUDLEY,3",158.0
88,"MICHELANGELO VIA R.DUDLEY,3",121.0
89,"MICHELANGELO VIA R.DUDLEY,3",173.0
90,"MICHELANGELO VIA R.DUDLEY,3",175.0
91,"G.RODARI V.LE RISORGIMENTO,140",142.0
92,"G.RODARI V.LE RISORGIMENTO,140",119.0
93,"G.RODARI V.LE RISORGIMENTO,140",114.0
94,"G.RODARI V.LE RISORGIMENTO,140",172.0
95,"G.RODARI V.LE RISORGIMENTO,140",151.0
