Sezione,Ubicazione,Voti
1,"D'AZEGLIO V.D.MULINI A VENTO,2",12.0
2,"G.BORSI VIA DELLA CORONCINA,21",14.0
3,"D'AZEGLIO V.D.MULINI A VENTO,2",8.0
4,"D'AZEGLIO V.D.MULINI A VENTO,2",8.0
5,"D'AZEGLIO V.D.MULINI A VENTO,2",11.0
6,"C.BINI VIA C.BINI,22 INGR.CEN.",18.0
7,"C.BINI VIA C.BINI,22 INGR.CEN.",3.0
8,"C.BINI VIA C.BINI,22 INGR.CEN.",8.0
9,"C.BINI VIA C.BINI,22 INGR.CEN.",8.0
10,"C.BINI VIA C.BINI,22 INGR.CEN.",7.0
11,"C.BINI VIA C.BINI,22 INGR.CEN.",13.0
12,ISOLA DI GORGONA,0.0
13,"G.BORSI VIA DELLA CORONCINA,21",3.0
14,"G.BORSI VIA DELLA CORONCINA,21",9.0
15,"G.BORSI VIA DEI CAVALIERI,30",14.0
16,"G.BORSI VIA DELLA CORONCINA,21",12.0
17,"G.BORSI VIA DEI CAVALIERI,30",14.0
18,"G.BORSI VIA DELLA CORONCINA,21",9.0
19,"A.BENCI VIA BERNARDINA,35",5.0
20,"A.BENCI VIA BERNARDINA,35",7.0
21,"A.BENCI VIA BERNARDINA,35",11.0
22,"A.BENCI VIA BERNARDINA,35",12.0
23,"A.BENCI VIA BERNARDINA,35",8.0
24,"G.MICHELI PIAZ.LE XI MAGGIO,25",12.0
25,"G.MICHELI PIAZ.LE XI MAGGIO,25",7.0
26,"G.MICHELI PIAZ.LE XI MAGGIO,25",12.0
27,"G.MICHELI PIAZ.LE XI MAGGIO,25",4.0
28,"G.MICHELI PIAZ.LE XI MAGGIO,25",8.0
29,"G.MICHELI PIAZ.LE XI MAGGIO,25",5.0
30,"G.MICHELI PIAZ.LE XI MAGGIO,25",6.0
31,"G.MICHELI PIAZ.LE XI MAGGIO,25",0.0
32,"G.MICHELI PIAZ.LE XI MAGGIO,25",3.0
33,"MICHELANGELO VIA R.DUDLEY,3",10.0
34,"MICALI SUCC.VIA DEGLI ARCHI,66",4.0
35,"MICALI SUCC.VIA DEGLI ARCHI,66",11.0
36,"MICALI SUCC.VIA DEGLI ARCHI,66",15.0
37,"MICALI SUCC.VIA DEGLI ARCHI,66",9.0
38,"MICALI VIA MARRADI,120",28.0
39,"MICALI VIA MARRADI,120",23.0
40,"MICALI SUCC.VIA DEGLI ARCHI,66",8.0
41,"MICALI SUCC.VIA DEGLI ARCHI,66",13.0
42,"MICALI SUCC.VIA DEGLI ARCHI,66",12.0
43,"MICALI SUCC.VIA DEGLI ARCHI,66",13.0
44,"E.DE AMICIS VIALE G.MARCONI,77",8.0
45,"E.DE AMICIS VIALE G.MARCONI,77",14.0
46,"E.DE AMICIS VIALE G.MARCONI,77",11.0
47,"E.DE AMICIS VIALE G.MARCONI,77",6.0
48,"A.BENCI VIA A. NOVELLI, N. 1",7.0
49,"A.BENCI VIA A. NOVELLI, N. 1",5.0
50,"G.PAZZINI VIA SAN GAETANO,19",8.0
51,"G.PAZZINI VIA SAN GAETANO,19",5.0
52,"G.PAZZINI VIA SAN GAETANO,19",19.0
53,"G.PAZZINI VIA SAN GAETANO,19",21.0
54,"G.PAZZINI VIA SAN GAETANO,19",9.0
55,"MAZZINI SUCC.V.LE CARDUCCI,16",7.0
56,"G.MAZZINI V.GIOV.T.TOZZETTI,5",4.0
57,"MAZZINI SUCC.V.LE CARDUCCI,16",2.0
58,"G.MAZZINI V.GIOV.T.TOZZETTI,5",2.0
59,"G.MAZZINI V.GIOV.T.TOZZETTI,5",11.0
60,OSPEDALE CIVILE,1.0
61,OSPEDALE CIVILE,0.0
62,"V.CORRIDI V.DI COLLINAIA,19",19.0
63,"MAZZINI SUCC.V.LE CARDUCCI,16",9.0
64,"G.MAZZINI V.GIOV.T.TOZZETTI,5",16.0
65,"G.PUCCINI VIA E.ZOLA,75",5.0
66,"G.PUCCINI VIA E.ZOLA,75",8.0
67,"G.PUCCINI VIA E.ZOLA,75",4.0
68,"G.PUCCINI VIA E.ZOLA,75",0.0
69,"S.M. 'FERMI' VIA N.STENONE,12",4.0
70,"S.M. 'FERMI' VIA N.STENONE,12",3.0
71,"S.M. 'FERMI' VIA N.STENONE,12",2.0
72,"S.M. 'FERMI' VIA N.STENONE,12",1.0
73,"G.MICHELI PIAZ.LE XI MAGGIO,25",7.0
74,"G.MICHELI PIAZ.LE XI MAGGIO,25",9.0
75,"G.MICHELI PIAZ.LE XI MAGGIO,25",3.0
76,"G.MICHELI PIAZ.LE XI MAGGIO,25",6.0
77,"A.MODIGLIANI VIA AGNOLETTI,3",1.0
78,"A.MODIGLIANI VIA AGNOLETTI,3",6.0
79,"A.MODIGLIANI VIA AGNOLETTI,3",2.0
80,"G.FATTORI VIA T.SCALI,72",4.0
81,"G.FATTORI VIA T.SCALI,72",9.0
82,"P.THOUAR VIA DELLE SORGENTI,39",3.0
83,"P.THOUAR VIA DELLE SORGENTI,39",7.0
84,"P.THOUAR VIA DELLE SORGENTI,39",3.0
85,"P.THOUAR VIA DELLE SORGENTI,39",7.0
86,"MICHELANGELO VIA R.DUDLEY,3",4.0
87,"MICHELANGELO VIA R.DUDLEY,3",6.0
88,"MICHELANGELO VIA R.DUDLEY,3",1.0
89,"MICHELANGELO VIA R.DUDLEY,3",6.0
90,"MICHELANGELO VIA R.DUDLEY,3",7.0
91,"G.RODARI V.LE RISORGIMENTO,140",3.0
92,"G.RODARI V.LE RISORGIMENTO,140",8.0
93,"G.RODARI V.LE RISORGIMENTO,140",6.0
94,"G.RODARI V.LE RISORGIMENTO,140",11.0
95,"G.RODARI V.LE RISORGIMENTO,140",4.0
96,A. RAZZAUTI VIA BASILICATA 17a,7.0
97,A. RAZZAUTI VIA BASILICATA 17a,8.0
98,A. RAZZAUTI VIA BASILICATA 17a,4.0
99,"C.COLLODI VIA DI SALVIANO,87",5.0
100,"C.COLLODI VIA DI SALVIANO,87",6.0
101,"C.COLLODI VIA DI SALVIANO,87",7.0
102,"C.COLLODI VIA DI SALVIANO,87",3.0
103,A. RAZZAUTI VIA BASILICATA 17a,5.0
104,A. RAZZAUTI VIA BASILICATA 17a,9.0
105,"P.ALBERTELLI V.P.ALBERTELLI,1",22.0
106,"P.ALBERTELLI V.P.ALBERTELLI,1",17.0
107,"P.ALBERTELLI V.P.ALBERTELLI,1",23.0
108,"P.ALBERTELLI V.P.ALBERTELLI,1",22.0
109,"BARTOLENA VIA E.BOIS,14",16.0
110,"P.ALBERTELLI V.P.ALBERTELLI,1",10.0
111,"BARTOLENA VIA E.BOIS,14",14.0
112,"BARTOLENA VIA E.BOIS,14",10.0
113,"BARTOLENA VIA E.BOIS,14",14.0
114,"R.NATALI VIA A.CECIONI,37",15.0
115,"R.NATALI VIA A.CECIONI,37",13.0
116,"R.NATALI VIA A.CECIONI,37",17.0
117,"R.NATALI VIA A.CECIONI,37",10.0
118,"B.BRIN VIA SARDEGNA,25",12.0
119,"B.BRIN VIA SARDEGNA,25",19.0
120,"B.BRIN VIA SARDEGNA,25",12.0
121,"B.BRIN VIA SARDEGNA,25",14.0
122,"B.BRIN VIA SARDEGNA,25",20.0
123,"B.BRIN VIA SARDEGNA,25",19.0
124,LAMBRUSCHINI VIA P.VILLARI,8.0
125,LAMBRUSCHINI VIA P.VILLARI,26.0
126,"C.CATTANEO VIA C.CATTANEO,5",9.0
127,"C.CATTANEO VIA C.CATTANEO,5",18.0
128,"C.CATTANEO VIA C.CATTANEO,5",27.0
129,"C.CATTANEO VIA C.CATTANEO,5",11.0
130,"C.CATTANEO VIA C.CATTANEO,5",1.0
131,"G.CARDUCCI P.ZA A.SFORZINI,18",12.0
132,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",13.0
133,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",24.0
134,"G.CARDUCCI P.ZA A.SFORZINI,18",14.0
135,"EL.G.CARDUCCI V.D.PROVENZAL,27",14.0
136,"EL.G.CARDUCCI V.D.PROVENZAL,27",20.0
137,"EL.G.CARDUCCI V.D.PROVENZAL,27",23.0
138,"EL.G.CARDUCCI V.D.PROVENZAL,27",16.0
139,"EL.G.CARDUCCI V.D.PROVENZAL,27",26.0
140,"EL.G.CARDUCCI V.D.PROVENZAL,27",11.0
141,"ELEM.MONT.VIA DI MONTENERO,408",18.0
142,"ELEM.MONT.VIA DI MONTENERO,408",18.0
143,"'C.BARTOLENA' VIA MICHEL,8",23.0
144,"'C.BARTOLENA' VIA MICHEL,8",23.0
145,"CASTELLAC.VIA QUERCIANELLA,126",15.0
146,"CEN.SOC.CULT.RIC.V.P.NARDINI,8",21.0
147,"A.GRAMSCI VIA CAMPANIA, 39",12.0
148,"A.GRAMSCI VIA CAMPANIA, 39",5.0
149,"A.GRAMSCI VIA CAMPANIA, 39",7.0
150,"A.GRAMSCI VIA CAMPANIA, 39",10.0
151,"A.GRAMSCI VIA CAMPANIA, 39",8.0
152,"A.GRAMSCI VIA CAMPANIA, 39",12.0
153,"A.GRAMSCI VIA CAMPANIA, 39",4.0
154,"A.GRAMSCI VIA CAMPANIA, 39",6.0
155,"P.THOUAR VIA D.NICCODEMI,1",3.0
156,"P.THOUAR VIA D.NICCODEMI,1",10.0
157,"V.CORRIDI V.VEC.LAZZERETTO,26",6.0
158,"V.CORRIDI V.VEC.LAZZERETTO,26",10.0
159,"V.CORRIDI V.VEC.LAZZERETTO,26",12.0
160,"V.CORRIDI V.VEC.LAZZERETTO,26",1.0
161,"V.CORRIDI V.DI COLLINAIA,19",14.0
162,"V.CORRIDI V.DI COLLINAIA,19",11.0
163,"V.CORRIDI V.DI COLLINAIA,19",13.0
164,"V.CORRIDI V.DI COLLINAIA,19",10.0
165,"LAMBRUSCHINI VIA P.VILLARI,8",4.0
166,"'C.BARTOLENA' VIA MICHEL,8",7.0
167,"'C.BARTOLENA' VIA MICHEL,8",10.0
168,"LAMBRUSCHINI VIA P.VILLARI,8",11.0
169,"'C.BARTOLENA' VIA MICHEL,8",2.0
170,"'C.BARTOLENA' VIA MICHEL,8",6.0
171,"V.CORRIDI V.DI COLLINAIA,19",13.0
172,"V.CORRIDI V.DI COLLINAIA,19",3.0
