Sezione,Ubicazione,Voti
1,"D'AZEGLIO V.D.MULINI A VENTO,2",17.0
2,"G.BORSI VIA DELLA CORONCINA,21",15.0
3,"D'AZEGLIO V.D.MULINI A VENTO,2",24.0
4,"D'AZEGLIO V.D.MULINI A VENTO,2",24.0
5,"D'AZEGLIO V.D.MULINI A VENTO,2",26.0
6,"C.BINI VIA C.BINI,22 INGR.CEN.",21.0
7,"C.BINI VIA C.BINI,22 INGR.CEN.",13.0
8,"C.BINI VIA C.BINI,22 INGR.CEN.",31.0
9,"C.BINI VIA C.BINI,22 INGR.CEN.",21.0
10,"C.BINI VIA C.BINI,22 INGR.CEN.",29.0
11,"C.BINI VIA C.BINI,22 INGR.CEN.",22.0
12,ISOLA DI GORGONA,4.0
13,"G.BORSI VIA DELLA CORONCINA,21",9.0
14,"G.BORSI VIA DELLA CORONCINA,21",25.0
15,"G.BORSI VIA DEI CAVALIERI,30",25.0
16,"G.BORSI VIA DELLA CORONCINA,21",29.0
17,"G.BORSI VIA DEI CAVALIERI,30",23.0
18,"G.BORSI VIA DELLA CORONCINA,21",24.0
19,"A.BENCI VIA BERNARDINA,35",18.0
20,"A.BENCI VIA BERNARDINA,35",22.0
21,"A.BENCI VIA BERNARDINA,35",26.0
22,"A.BENCI VIA BERNARDINA,35",20.0
23,"A.BENCI VIA BERNARDINA,35",29.0
24,"G.MICHELI PIAZ.LE XI MAGGIO,25",18.0
25,"G.MICHELI PIAZ.LE XI MAGGIO,25",21.0
26,"G.MICHELI PIAZ.LE XI MAGGIO,25",21.0
27,"G.MICHELI PIAZ.LE XI MAGGIO,25",30.0
28,"G.MICHELI PIAZ.LE XI MAGGIO,25",28.0
29,"G.MICHELI PIAZ.LE XI MAGGIO,25",31.0
30,"G.MICHELI PIAZ.LE XI MAGGIO,25",26.0
31,"G.MICHELI PIAZ.LE XI MAGGIO,25",20.0
32,"G.MICHELI PIAZ.LE XI MAGGIO,25",25.0
33,"MICHELANGELO VIA R.DUDLEY,3",26.0
34,"MICALI SUCC.VIA DEGLI ARCHI,66",16.0
35,"MICALI SUCC.VIA DEGLI ARCHI,66",17.0
36,"MICALI SUCC.VIA DEGLI ARCHI,66",21.0
37,"MICALI SUCC.VIA DEGLI ARCHI,66",26.0
38,"MICALI VIA MARRADI,120",26.0
39,"MICALI VIA MARRADI,120",25.0
40,"MICALI SUCC.VIA DEGLI ARCHI,66",24.0
41,"MICALI SUCC.VIA DEGLI ARCHI,66",17.0
42,"MICALI SUCC.VIA DEGLI ARCHI,66",16.0
43,"MICALI SUCC.VIA DEGLI ARCHI,66",21.0
44,"E.DE AMICIS VIALE G.MARCONI,77",22.0
45,"E.DE AMICIS VIALE G.MARCONI,77",20.0
46,"E.DE AMICIS VIALE G.MARCONI,77",18.0
47,"E.DE AMICIS VIALE G.MARCONI,77",20.0
48,"A.BENCI VIA A. NOVELLI, N. 1",22.0
49,"A.BENCI VIA A. NOVELLI, N. 1",24.0
50,"G.PAZZINI VIA SAN GAETANO,19",22.0
51,"G.PAZZINI VIA SAN GAETANO,19",26.0
52,"G.PAZZINI VIA SAN GAETANO,19",21.0
53,"G.PAZZINI VIA SAN GAETANO,19",24.0
54,"G.PAZZINI VIA SAN GAETANO,19",22.0
55,"MAZZINI SUCC.V.LE CARDUCCI,16",30.0
56,"G.MAZZINI V.GIOV.T.TOZZETTI,5",19.0
